0 0 0 0.000000000000e+00
0 0 1 0.000000000000e+00
0 1 0 0.000000000000e+00
0 1 1 0.000000000000e+00
1 0 0 0.000000000000e+00
1 0 1 0.000000000000e+00
1 1 0 0.000000000000e+00
1 1 1 0.000000000000e+00
0 0 2 0.000000000000e+00
0 0 3 0.000000000000e+00
0 1 2 0.000000000000e+00
0 1 3 0.000000000000e+00
1 0 2 0.000000000000e+00
1 0 3 0.000000000000e+00
1 1 2 0.000000000000e+00
1 1 3 0.000000000000e+00
0 2 0 0.000000000000e+00
0 2 1 0.000000000000e+00
0 3 0 0.000000000000e+00
0 3 1 0.000000000000e+00
1 2 0 0.000000000000e+00
1 2 1 0.000000000000e+00
1 3 0 0.000000000000e+00
1 3 1 0.000000000000e+00
0 2 2 0.000000000000e+00
0 2 3 0.000000000000e+00
0 3 2 0.000000000000e+00
0 3 3 0.000000000000e+00
1 2 2 0.000000000000e+00
1 2 3 0.000000000000e+00
1 3 2 0.000000000000e+00
1 3 3 0.000000000000e+00
2 0 0 0.000000000000e+00
2 0 1 0.000000000000e+00
2 1 0 0.000000000000e+00
2 1 1 0.000000000000e+00
3 0 0 0.000000000000e+00
3 0 1 0.000000000000e+00
3 1 0 0.000000000000e+00
3 1 1 0.000000000000e+00
2 0 2 0.000000000000e+00
2 0 3 0.000000000000e+00
2 1 2 0.000000000000e+00
2 1 3 0.000000000000e+00
3 0 2 0.000000000000e+00
3 0 3 0.000000000000e+00
3 1 2 0.000000000000e+00
3 1 3 0.000000000000e+00
2 2 0 0.000000000000e+00
2 2 1 0.000000000000e+00
2 3 0 0.000000000000e+00
2 3 1 0.000000000000e+00
3 2 0 0.000000000000e+00
3 2 1 0.000000000000e+00
3 3 0 0.000000000000e+00
3 3 1 2.557139913007e-02
2 2 2 1.577539881556e-08
2 2 3 2.267175855547e-02
2 3 2 1.235931114534e-01
2 3 3 4.623591374548e-01
3 2 2 1.245974477798e-01
3 2 3 5.883228116861e-01
3 3 2 8.256775667221e-01
3 3 3 1.000000000000e+00
0 0 4 0.000000000000e+00
0 0 5 0.000000000000e+00
0 1 4 0.000000000000e+00
0 1 5 0.000000000000e+00
1 0 4 0.000000000000e+00
1 0 5 0.000000000000e+00
1 1 4 0.000000000000e+00
1 1 5 0.000000000000e+00
0 0 6 0.000000000000e+00
0 0 7 0.000000000000e+00
0 1 6 0.000000000000e+00
0 1 7 0.000000000000e+00
1 0 6 0.000000000000e+00
1 0 7 0.000000000000e+00
1 1 6 0.000000000000e+00
1 1 7 0.000000000000e+00
0 2 4 0.000000000000e+00
0 2 5 0.000000000000e+00
0 3 4 0.000000000000e+00
0 3 5 0.000000000000e+00
1 2 4 0.000000000000e+00
1 2 5 0.000000000000e+00
1 3 4 0.000000000000e+00
1 3 5 0.000000000000e+00
0 2 6 0.000000000000e+00
0 2 7 0.000000000000e+00
0 3 6 0.000000000000e+00
0 3 7 0.000000000000e+00
1 2 6 0.000000000000e+00
1 2 7 0.000000000000e+00
1 3 6 0.000000000000e+00
1 3 7 0.000000000000e+00
2 0 4 0.000000000000e+00
2 0 5 0.000000000000e+00
2 1 4 0.000000000000e+00
2 1 5 0.000000000000e+00
3 0 4 0.000000000000e+00
3 0 5 0.000000000000e+00
3 1 4 0.000000000000e+00
3 1 5 0.000000000000e+00
2 0 6 0.000000000000e+00
2 0 7 0.000000000000e+00
2 1 6 0.000000000000e+00
2 1 7 0.000000000000e+00
3 0 6 0.000000000000e+00
3 0 7 0.000000000000e+00
3 1 6 0.000000000000e+00
3 1 7 0.000000000000e+00
2 2 4 2.919886557452e-02
2 2 5 1.501357080050e-04
2 3 4 4.434310839654e-01
2 3 5 9.277844052070e-02
3 2 4 6.834780387189e-01
3 2 5 2.855128315529e-01
3 3 4 1.000000000000e+00
3 3 5 8.732194401688e-01
2 2 6 0.000000000000e+00
2 2 7 0.000000000000e+00
2 3 6 0.000000000000e+00
2 3 7 0.000000000000e+00
3 2 6 5.017756319125e-05
3 2 7 0.000000000000e+00
3 3 6 4.403410669374e-02
