0 0 0 1.000000000000e+00
0 0 1 1.000000000000e+00
0 1 0 1.000000000000e+00
0 1 1 1.000000000000e+00
1 0 0 1.000000000000e+00
1 0 1 1.000000000000e+00
1 1 0 1.000000000000e+00
1 1 1 1.000000000000e+00
0 0 2 1.000000000000e+00
0 0 3 1.000000000000e+00
0 1 2 1.000000000000e+00
0 1 3 1.000000000000e+00
1 0 2 1.000000000000e+00
1 0 3 1.000000000000e+00
1 1 2 1.000000000000e+00
1 1 3 1.000000000000e+00
0 2 0 1.000000000000e+00
0 2 1 1.000000000000e+00
0 3 0 1.000000000000e+00
0 3 1 1.000000000000e+00
1 2 0 1.000000000000e+00
1 2 1 1.000000000000e+00
1 3 0 1.000000000000e+00
1 3 1 1.000000000000e+00
0 2 2 1.000000000000e+00
0 2 3 1.000000000000e+00
0 3 2 1.000000000000e+00
0 3 3 1.000000000000e+00
1 2 2 1.000000000000e+00
1 2 3 1.000000000000e+00
1 3 2 1.000000000000e+00
1 3 3 1.000000000000e+00
2 0 0 1.000000000000e+00
2 0 1 1.000000000000e+00
2 1 0 1.000000000000e+00
2 1 1 1.000000000000e+00
3 0 0 1.000000000000e+00
3 0 1 1.000000000000e+00
3 1 0 1.000000000000e+00
3 1 1 1.000000000000e+00
2 0 2 1.000000000000e+00
2 0 3 1.000000000000e+00
2 1 2 1.000000000000e+00
2 1 3 1.000000000000e+00
3 0 2 1.000000000000e+00
3 0 3 1.000000000000e+00
3 1 2 1.000000000000e+00
3 1 3 1.000000000000e+00
2 2 0 1.000000000000e+00
2 2 1 1.000000000000e+00
2 3 0 1.000000000000e+00
2 3 1 1.000000000000e+00
3 2 0 1.000000000000e+00
3 2 1 1.000000000000e+00
3 3 0 1.000000000000e+00
3 3 1 1.000000000000e+00
2 2 2 1.000000000000e+00
2 2 3 1.000000000000e+00
2 3 2 1.000000000000e+00
2 3 3 1.000000000000e+00
3 2 2 1.000000000000e+00
3 2 3 1.000000000000e+00
3 3 2 1.000000000000e+00
3 3 3 1.000000000000e+00
0 0 4 7.187988078385e-01
0 0 5 2.439497961381e-03
0 1 4 8.640760606381e-01
0 1 5 2.742351330736e-02
1 0 4 9.510169209675e-01
1 0 5 7.587653152575e-02
1 1 4 1.000000000000e+00
1 1 5 2.693101129312e-01
0 0 6 0.000000000000e+00
0 0 7 0.000000000000e+00
0 1 6 0.000000000000e+00
0 1 7 0.000000000000e+00
1 0 6 0.000000000000e+00
1 0 7 0.000000000000e+00
1 1 6 0.000000000000e+00
1 1 7 0.000000000000e+00
0 2 4 7.187988078385e-01
0 2 5 2.439497961381e-03
0 3 4 2.754885188272e-01
0 3 5 0.000000000000e+00
1 2 4 9.510169209675e-01
1 2 5 7.587653152575e-02
1 3 4 3.922383960277e-01
1 3 5 0.000000000000e+00
0 2 6 0.000000000000e+00
0 2 7 0.000000000000e+00
0 3 6 0.000000000000e+00
0 3 7 0.000000000000e+00
1 2 6 0.000000000000e+00
1 2 7 0.000000000000e+00
1 3 6 0.000000000000e+00
1 3 7 0.000000000000e+00
2 0 4 9.028586388263e-01
2 0 5 3.745156433270e-02
2 1 4 9.973608373486e-01
2 1 5 1.649264936925e-01
3 0 4 4.945604161862e-01
3 0 5 0.000000000000e+00
3 1 4 6.113102933868e-01
3 1 5 0.000000000000e+00
2 0 6 0.000000000000e+00
2 0 7 0.000000000000e+00
2 1 6 0.000000000000e+00
2 1 7 0.000000000000e+00
3 0 6 0.000000000000e+00
3 0 7 0.000000000000e+00
3 1 6 0.000000000000e+00
3 1 7 0.000000000000e+00
2 2 4 9.028586388263e-01
2 2 5 3.745156433270e-02
2 3 4 3.591665376384e-01
2 3 5 0.000000000000e+00
3 2 4 4.945604161862e-01
3 2 5 0.000000000000e+00
3 3 4 1.889052694928e-01
3 3 5 0.000000000000e+00
2 2 6 0.000000000000e+00
2 2 7 0.000000000000e+00
2 3 6 0.000000000000e+00
2 3 7 0.000000000000e+00
3 2 6 0.000000000000e+00
3 2 7 0.000000000000e+00
3 3 6 0.000000000000e+00
3 3 7 0.000000000000e+00
0 4 0 1.000000000000e+00
0 4 1 1.000000000000e+00
0 5 0 1.000000000000e+00
0 5 1 1.000000000000e+00
1 4 0 1.000000000000e+00
1 4 1 1.000000000000e+00
1 5 0 1.000000000000e+00
1 5 1 1.000000000000e+00
0 4 2 1.000000000000e+00
0 4 3 7.245114811728e-01
0 5 2 9.975605020386e-01
0 5 3 2.812011921615e-01
1 4 2 1.000000000000e+00
1 4 3 6.077616039723e-01
1 5 2 9.241234684742e-01
1 5 3 4.898307903247e-02
0 6 0 1.000000000000e+00
0 6 1 1.000000000000e+00
0 7 0 1.000000000000e+00
0 7 1 1.000000000000e+00
1 6 0 1.000000000000e+00
1 6 1 1.000000000000e+00
1 7 0 1.000000000000e+00
1 7 1 1.000000000000e+00
0 6 2 9.725764866926e-01
0 6 3 1.359239393619e-01
0 7 2 9.975605020386e-01
0 7 3 2.812011921615e-01
1 6 2 7.306898870688e-01
1 6 3 0.000000000000e+00
1 7 2 9.241234684742e-01
1 7 3 4.898307903247e-02
2 4 0 1.000000000000e+00
2 4 1 1.000000000000e+00
2 5 0 1.000000000000e+00
2 5 1 1.000000000000e+00
3 4 0 1.000000000000e+00
3 4 1 1.000000000000e+00
3 5 0 1.000000000000e+00
3 5 1 1.000000000000e+00
2 4 2 1.000000000000e+00
2 4 3 6.408334623616e-01
2 5 2 9.625484356673e-01
2 5 3 9.714136117375e-02
3 4 2 1.000000000000e+00
3 4 3 8.110947305072e-01
3 5 2 1.000000000000e+00
3 5 3 5.054395838138e-01
2 6 0 1.000000000000e+00
2 6 1 1.000000000000e+00
2 7 0 1.000000000000e+00
2 7 1 1.000000000000e+00
3 6 0 1.000000000000e+00
3 6 1 1.000000000000e+00
3 7 0 1.000000000000e+00
3 7 1 1.000000000000e+00
2 6 2 8.350735063075e-01
2 6 3 2.639162651404e-03
2 7 2 9.625484356673e-01
2 7 3 9.714136117374e-02
3 6 2 1.000000000000e+00
3 6 3 3.886897066132e-01
3 7 2 1.000000000000e+00
3 7 3 5.054395838138e-01
0 4 4 0.000000000000e+00
0 4 5 0.000000000000e+00
0 5 4 0.000000000000e+00
0 5 5 0.000000000000e+00
1 4 4 0.000000000000e+00
1 4 5 0.000000000000e+00
1 5 4 0.000000000000e+00
1 5 5 0.000000000000e+00
0 4 6 0.000000000000e+00
0 4 7 0.000000000000e+00
0 5 6 0.000000000000e+00
0 5 7 0.000000000000e+00
1 4 6 0.000000000000e+00
1 4 7 0.000000000000e+00
1 5 6 0.000000000000e+00
1 5 7 0.000000000000e+00
0 6 4 0.000000000000e+00
0 6 5 0.000000000000e+00
0 7 4 0.000000000000e+00
0 7 5 0.000000000000e+00
1 6 4 0.000000000000e+00
1 6 5 0.000000000000e+00
1 7 4 0.000000000000e+00
1 7 5 0.000000000000e+00
0 6 6 0.000000000000e+00
0 6 7 0.000000000000e+00
0 7 6 0.000000000000e+00
0 7 7 0.000000000000e+00
1 6 6 0.000000000000e+00
1 6 7 0.000000000000e+00
1 7 6 0.000000000000e+00
1 7 7 0.000000000000e+00
2 4 4 0.000000000000e+00
2 4 5 0.000000000000e+00
2 5 4 0.000000000000e+00
2 5 5 0.000000000000e+00
3 4 4 0.000000000000e+00
3 4 5 0.000000000000e+00
3 5 4 0.000000000000e+00
3 5 5 0.000000000000e+00
2 4 6 0.000000000000e+00
2 4 7 0.000000000000e+00
2 5 6 0.000000000000e+00
2 5 7 0.000000000000e+00
3 4 6 0.000000000000e+00
3 4 7 0.000000000000e+00
3 5 6 0.000000000000e+00
3 5 7 0.000000000000e+00
2 6 4 0.000000000000e+00
2 6 5 0.000000000000e+00
2 7 4 0.000000000000e+00
2 7 5 0.000000000000e+00
3 6 4 0.000000000000e+00
3 6 5 0.000000000000e+00
3 7 4 0.000000000000e+00
3 7 5 0.000000000000e+00
2 6 6 0.000000000000e+00
2 6 7 0.000000000000e+00
2 7 6 0.000000000000e+00
2 7 7 0.000000000000e+00
3 6 6 0.000000000000e+00
3 6 7 0.000000000000e+00
3 7 6 0.000000000000e+00
3 7 7 0.000000000000e+00
4 0 0 1.000000000000e+00
4 0 1 1.000000000000e+00
4 1 0 1.000000000000e+00
4 1 1 1.000000000000e+00
5 0 0 1.000000000000e+00
5 0 1 1.000000000000e+00
5 1 0 1.000000000000e+00
5 1 1 1.000000000000e+00
4 0 2 1.000000000000e+00
4 0 3 8.327674746405e-01
4 1 2 1.000000000000e+00
4 1 3 7.932892306068e-01
5 0 2 9.975605020386e-01
5 0 3 2.812011921615e-01
5 1 2 9.725764866926e-01
5 1 3 1.359239393619e-01
4 2 0 1.000000000000e+00
4 2 1 1.000000000000e+00
4 3 0 1.000000000000e+00
4 3 1 1.000000000000e+00
5 2 0 1.000000000000e+00
5 2 1 1.000000000000e+00
5 3 0 1.000000000000e+00
5 3 1 1.000000000000e+00
4 2 2 1.000000000000e+00
4 2 3 8.327674746405e-01
4 3 2 1.000000000000e+00
4 3 3 9.361228593372e-01
5 2 2 9.975605020386e-01
5 2 3 2.812011921615e-01
5 3 2 1.000000000000e+00
5 3 3 7.245114811728e-01
6 0 0 1.000000000000e+00
6 0 1 1.000000000000e+00
6 1 0 1.000000000000e+00
6 1 1 1.000000000000e+00
7 0 0 1.000000000000e+00
7 0 1 1.000000000000e+00
7 1 0 1.000000000000e+00
7 1 1 1.000000000000e+00
6 0 2 9.241234684742e-01
6 0 3 4.898307903247e-02
6 1 2 7.306898870689e-01
6 1 3 0.000000000000e+00
7 0 2 9.625484356673e-01
7 0 3 9.714136117374e-02
7 1 2 8.350735063075e-01
7 1 3 2.639162651404e-03
6 2 0 1.000000000000e+00
6 2 1 1.000000000000e+00
6 3 0 1.000000000000e+00
6 3 1 1.000000000000e+00
7 2 0 1.000000000000e+00
7 2 1 1.000000000000e+00
7 3 0 1.000000000000e+00
7 3 1 1.000000000000e+00
6 2 2 9.241234684742e-01
6 2 3 4.898307903247e-02
6 3 2 1.000000000000e+00
